"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected"
"Premier League","M","ENG",2022,"Tottenham","team",25,38,63,486,185,38.1,12.79,4.87,0.12,0.31,16.7,16,5,5,61.2,57.3,0.12,1.8,0.7
"Premier League","M","ENG",2022,"Watford","team",30,38,33,397,123,31,10.45,3.24,0.08,0.26,18.1,24,1,2,40,38.4,0.1,-7,-6.4
"Premier League","M","ENG",2022,"West Ham","team",25,38,58,443,142,32.1,11.66,3.74,0.12,0.38,16.6,13,4,6,51.4,46.8,0.11,6.6,7.2
"Premier League","M","ENG",2022,"Wolves","team",26,38,35,401,133,33.2,10.55,3.5,0.08,0.26,18.6,13,1,1,37.5,36.8,0.09,-2.5,-2.8
"Premier League","M","ENG",2022,"vs Arsenal","opponent",27,38,47,419,142,33.9,11.03,3.74,0.1,0.3,17.6,16,5,6,45.7,40.9,0.1,1.3,1.1
"Premier League","M","ENG",2022,"vs Aston Villa","opponent",31,38,52,471,144,30.6,12.39,3.79,0.1,0.33,17.4,22,4,6,49,44.1,0.1,3,3.9
"Premier League","M","ENG",2022,"vs Brentford","opponent",29,38,54,498,174,34.9,13.11,4.58,0.1,0.28,18.2,22,5,5,48.5,44.6,0.09,5.5,4.4
"Premier League","M","ENG",2022,"vs Brighton","opponent",26,38,44,472,143,30.3,12.42,3.76,0.09,0.29,18.6,21,3,4,42.9,39.8,0.09,1.1,1.2
"Premier League","M","ENG",2022,"vs Burnley","opponent",23,38,51,598,173,28.9,15.74,4.55,0.08,0.27,17.7,16,5,5,57.1,53.2,0.09,-6.1,-7.2
"Premier League","M","ENG",2022,"vs Chelsea","opponent",26,38,32,335,109,32.5,8.82,2.87,0.08,0.24,18.1,11,6,6,33.2,28.9,0.09,-1.2,-2.9
"Premier League","M","ENG",2022,"vs Crystal Palace","opponent",24,38,44,439,140,31.9,11.55,3.68,0.09,0.29,17.9,20,3,4,40.7,37.6,0.09,3.3,3.4
"Premier League","M","ENG",2022,"vs Everton","opponent",33,38,61,520,186,35.8,13.68,4.89,0.11,0.32,17.7,19,2,2,55.4,53.9,0.11,5.6,5.1
"Premier League","M","ENG",2022,"vs Leeds United","opponent",29,38,78,576,219,38,15.16,5.76,0.13,0.33,17.3,23,5,5,67.8,64,0.11,10.2,9
